Time,Front POA1 (W/m2),Front POA2 (W/m2),Rear 1 (W/m2),Rear 2 (W/m2),Rear 3 (W/m2),G,W,B,S,Temperature C,Specific Humidity g/kg,Precipitation mm/hour,Relative Humidity %,tcc,tclw,sin_h,cos_h,sin_doy,cos_doy
2025-05-09 00:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.71,11.33,17.55,95.92,87.90641,0.06580531,0.0,1.0,0.7961828637826158,-0.6050560696488488
2025-05-09 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.71,11.33,17.55,95.92,89.015816,0.082597665,0.0,1.0,0.7961828637826158,-0.6050560696488488
2025-05-09 00:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.71,11.33,17.55,95.92,90.12522,0.09939003,0.0,1.0,0.7961828637826158,-0.6050560696488488
2025-05-09 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.45,11.28,19.12,97.03,91.23463,0.11618239,0.2588190451025207,0.9659258262890684,0.7961828637826158,-0.6050560696488488
2025-05-09 01:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.45,11.28,19.12,97.03,91.2059,0.11303137,0.2588190451025207,0.9659258262890684,0.7961828637826158,-0.6050560696488488
2025-05-09 01:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.45,11.28,19.12,97.03,91.17717,0.10988036,0.2588190451025207,0.9659258262890684,0.7961828637826158,-0.6050560696488488
2025-05-09 01:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.45,11.28,19.12,97.03,91.148445,0.10672934,0.2588190451025207,0.9659258262890684,0.7961828637826158,-0.6050560696488488
2025-05-09 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.24,11.19,23.03,97.51,91.11972,0.10357833,0.4999999999999999,0.8660254037844387,0.7961828637826158,-0.6050560696488488
2025-05-09 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.24,11.19,23.03,97.51,92.90852,0.112648234,0.4999999999999999,0.8660254037844387,0.7961828637826158,-0.6050560696488488
2025-05-09 02:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,16.24,11.19,23.03,97.51,94.69733,0.12171814,0.4999999999999999,0.8660254037844387,0.7961828637826158,-0.6050560696488488
